axis_major_length,area,length,source_file,well_letter,well_num,strain,treatment
10.8720494812,37.94578125,10.8720494812,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
8.29593356787,28.94125,8.29593356787,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
12.2064989028,43.8871875,12.2064989028,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
12.0177291269,40.454375,12.0177291269,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
10.0930839963,36.440625,10.0930839963,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
8.92745487474,33.45671875,8.92745487474,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
12.5248468239,45.5771875,12.5248468239,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.200515693,32.3740625,9.200515693,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
11.9801504037,42.46125,11.9801504037,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
16.9964272735,61.65859375,16.9964272735,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
14.7520966205,54.4496875,14.7520966205,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
13.0030999834,35.5428125,13.0030999834,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.75020827878,34.961875,9.75020827878,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.57787841593,32.92859375,9.57787841593,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
10.8379471837,38.57953125,10.8379471837,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
8.39712202334,31.55546875,8.39712202334,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.91083661502,34.4865625,9.91083661502,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
11.4546066711,39.42453125,11.4546066711,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
13.9917152747,53.78953125,13.9917152747,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
10.0659303993,35.04109375,10.0659303993,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.28792782591,32.18921875,9.28792782591,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
10.8016271925,39.63578125,10.8016271925,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
12.1081646409,45.28671875,12.1081646409,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
8.45052976961,30.71046875,8.45052976961,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.0210663817,32.955,9.0210663817,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
14.8950777534,53.340625,14.8950777534,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
14.6703401353,57.11671875,14.6703401353,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
9.8604101825,33.08703125,9.8604101825,WellA01_PointA01_0000_ChannelFITC BP_Seq0000_properties.csv,A,1,SP286,1 mm bead
